cre89_categoryid,cre89_categorylevel,cre89_description,cre89_fullcategorypath,importsequencenumber,cre89_level1parent,cre89_level2parent,cre89_id,Ignore,cre89_risknature,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit,cre89_parent.cre89_id
,,"Failure to maintain the core legal documentation and agreements required for all group companies, resulting in unintended legal, financial, and / or operational exposure.",,,,,Legal Foundations,Minimise,716210001,,,,,,,Obligations Risks
,,"Non-compliance with laws, regulations, or industry obligations, resulting in legal or regulatory action, financial loss, and / or reputational damage.",,,,,Legal & Regulatory Compliance,Minimise,716210001,,,,,,,Obligations Risks
,,"Non-compliance with regulatory reporting requirements and/or failure to deliver the obligations required to obtain licences to operate, resulting in the inability to perform specific activities, regulatory actions, financial loss, or reputational damage.",,,,,Regulatory Permissions & Reporting,Minimise,716210001,,,,,,,Obligations Risks
,,"Poorly defined legal and governance structures, resulting in weak corporate governance, operational instability, poor tone at the top, weak decision making and exposure to negative legal, financial and operational factors.",,,,,Legal Entity Structure & Compliance​,Minimise,716210001,,,,,,,Obligations Risks
,,"Contracts do not manage risks appropriately, resulting in financial loss, manifestation of operational risks, legal disputes, legal action and / or breaches of broader legal or regulatory requirements.",,,,,Contractual Risk,Minimise,716210001,,,,,,,Obligations Risks
,,"Inadequate protection of inventions, brands, creative works, patents, trademarks, and copyrights, resulting in the inability to optimise commercial value, financial and/or reputational loss, and/or unauthorised use by external parties.",,,,,Intellectual Property,Minimise,716210001,,,,,,,Obligations Risks
,,"Inaccurate or misleading financial and non-financial reporting (including ESG) and/or failure to report in line with obligations, resulting in legal and/or regulatory breaches.",,,,,External Reporting,Minimise,716210001,,,,,,,Obligations Risks
,,"Failure to identify or understand the needs, expectations and obligations towards stakeholders and respond to them, resulting in financial or reputational loss and/or adverse consequences for individuals or third parties.",,,,,Stakeholders & s172 Analysis,Minimise,716210001,,,,,,,Obligations Risks
,,"Non-compliance with data protection laws and regulatory obligations, resulting in failures to protect, process or manage data appropriately with consequent financial and/or reputational loss.",,,,,Data Protection,Minimise,716210001,,,,,,,Obligations Risks
,,"Financial crime, including fraud, money laundering, sanctions evasion and terrorist financing, resulting in financial and reputational loss, breaches of legal and regulatory obligations and potential criminal offences.",,,,,Economic Crime,Minimise,716210001,,,,,,,Obligations Risks
,,"Potential for action against the company, resulting in significant fines or reputational damage.",,,,,Litigation,Minimise,716210001,,,,,,,Obligations Risks
,,"Failure to maintain adequate cash to meet business needs including obligations as they fall due, resulting in not being able to meet financial obligations.",,,,,"Cash, Liquidity & Financial Resilience",Minimise,716210001,,,,,,,Financial Risks
,,"Failure to control costs adequately, resulting in verosion of corporate value",,,,,Cost Management & Control,Minimise,716210001,,,,,,,Financial Risks
,,"Inaccurate forecasts and financial planning, resulting in poor decisions and not being able to meet business or investor needs.",,,,,Financial Planning,Minimise,716210001,,,,,,,Financial Risks
,,"Funding from investors or bank is not sufficient, resulting in failure to deliver on strategic objectives.",,,,,Funding & Capital Structure,Take,716210004,,,,,,,Financial Risks
,,"Lack of access to appropriate banking or sub-optimal treasury arrangements, resulting in failure to optimise the financial position.",,,,,Banking & Treasury,Minimise,716210001,,,,,,,Financial Risks
,,"Failure to optimise the tax position and structuring or to report in accordance with obligations, resulting in financial loss, regulatory action and fines and/ or reputational harm.",,,,,Taxation,Minimise,716210001,,,,,,,Financial Risks
,,"Inaccurate or misleading financial reports, resulting in incorrect decisions being made, financial loss or legal action.",,,,,Financial Reporting,Minimise,716210001,,,,,,,Financial Risks
,,"Insufficient and / or ineffective financial controls, resulting in material errors in financial data, poor financial reporting, inappropriate decisions or financial loss.",,,,,Financial Controls,Minimise,716210001,,,,,,,Financial Risks
,,"Failure to manage relationships with investors, including making unachievable commitments, resulting in reputational and financial loss with the potential for funding challenges.",,,,,Investor Relations,Take,716210004,,,,,,,Financial Risks
,,"Failure to manage exposures with the financial markets, including interest rates, commodity prices and foreign exchange, resulting in financial loss or uncertainty.",,,,,Financial Markets,Minimise,716210001,,,,,,,Financial Risks
,,"Inadequate or insufficient insurance cover, resulting in financial loss and disruption.",,,,,Insurance,Minimise,716210001,,,,,,,Financial Risks
